,concept,embed_1,embed_2,embed_3,category
0,Alligator,-0.1555977,0.1704298,-0.17323175,reptile
1,Blindworm,-0.22124065,0.2355537,-0.22949418,reptile
2,Boa python,-0.17223872,0.18100718,-0.18318556,reptile
3,Caiman,-0.1020935,0.11426917,-0.11297965,reptile
4,Chameleon,-0.1899758,0.20155784,-0.20043734,reptile
5,Cobra,-0.16016784,0.1724031,-0.17645653,reptile
6,Crocodile,-0.1227104,0.1303665,-0.1339895,reptile
7,Dinosaur,-0.17373976,0.18967955,-0.19108136,reptile
8,Gecko,-0.21596919,0.22987716,-0.229388,reptile
9,Lizard,-0.1806226,0.19322428,-0.19429086,reptile
10,Salamander,-0.1656557,0.17817746,-0.17790633,reptile
11,Snake,-0.18543822,0.20165257,-0.20115244,reptile
12,Toad,-0.15289438,0.17131601,-0.1680503,reptile
13,Tortoise,-0.12794647,0.13933536,-0.14505456,reptile
14,Turtle,-0.116984434,0.13094306,-0.13233663,reptile
15,Anvil,0.20403515,-0.1946623,0.19833282,tool
16,Axe,0.17321223,-0.16246364,0.16600217,tool
17,Chisel,0.19926962,-0.20523758,0.20618516,tool
18,Grinding disk,0.19741306,-0.22259018,0.2211341,tool
19,Hammer,0.18029001,-0.17813718,0.18032417,tool
20,Knife,0.17923817,-0.1770166,0.17904748,tool
21,Lawn Mower,0.1338201,-0.13813138,0.13991003,tool
22,Nail,0.16440012,-0.16688907,0.16819179,tool
23,Oil can,0.15232214,-0.18689768,0.18603733,tool
24,Paint brush,0.158382,-0.16450146,0.16509242,tool
25,Saw,0.17271179,-0.17200695,0.17322654,tool
26,Screwdriver,0.1836736,-0.18721098,0.1887871,tool
27,Shovel,0.15484086,-0.17270152,0.17248283,tool
28,Spanner,0.14850847,-0.15874694,0.15914366,tool
29,Vacuum,0.10841192,-0.2223596,0.21129026,tool
