Concept,Run,Feature,Category
Turtle,1,have_shell,Animal
Turtle,1,have_head,Animal
Turtle,1,have_eyes,Animal
Turtle,1,have_neck,Animal
Turtle,1,have_mouth,Animal
Turtle,1,have_legs,Animal
Turtle,1,have_feet,Animal
Turtle,1,have_tail,Animal
Turtle,2,have_shell,Animal
Turtle,2,have_hard_shell,Animal
Turtle,2,have_legs,Animal
Turtle,2,have_four_legs,Animal
Turtle,2,have_head,Animal
Turtle,2,have_tail,Animal
Turtle,3,are_reptiles,Animal
Turtle,3,are_ectothermic,Animal
Turtle,3,lay_eggs,Animal
Turtle,3,can_withdraw_head,Animal
Turtle,3,can_withdraw_legs,Animal
Turtle,4,can_fly,Animal
Turtle,4,can_swim,Animal
Turtle,4,can_swim_long_distances,Animal
Turtle,4,can_climb_trees,Animal
Turtle,5,have_shell,Animal
Turtle,5,have_hard_shell,Animal
Turtle,5,have_mouth,Animal
Turtle,5,have_beak-like_mouth,Animal
Turtle,5,have_feet,Animal
Turtle,5,have_webbed_feet,Animal
Turtle,5,have_tail,Animal
Turtle,5,have_long_tail,Animal
Alligator,1,have_tail,Animal
Alligator,1,have_long_tail,Animal
Alligator,1,have_legs,Animal
Alligator,1,have_short_legs,Animal
Alligator,1,have_head,Animal
Alligator,1,have_large_head,Animal
Alligator,1,have_teeth,Animal
Alligator,1,have_sharp_teeth,Animal
Alligator,2,have_head,Animal
Alligator,2,have_large_head,Animal
Alligator,2,have_tail,Animal
Alligator,2,have_long_tail,Animal
Alligator,2,have_teeth,Animal
Alligator,2,have_sharp_teeth,Animal
Alligator,2,are_swimmers,Animal
Alligator,2,are_good_swimmers,Animal
Alligator,2,can_stay_underwater,Animal
Alligator,3,have_jaw,Animal
Alligator,3,have_strong_jaw,Animal
Alligator,3,can_climb,Animal
Alligator,3,are_good_climbers,Animal
Alligator,3,can_run,Animal
Alligator,3,can_run_fast,Animal
Alligator,4,have_skin,Animal
Alligator,4,have_tough_skin,Animal
Alligator,4,have_feet,Animal
Alligator,4,have_webbed_feet,Animal
Alligator,4,can_blend_with_surroundings,Animal
Alligator,5,can_live_for_50_years,Animal
Alligator,5,live_in_freshwater,Animal
Alligator,5,are_predators,Animal
Lizard,1,have_legs,Animal
Lizard,1,have_four_legs,Animal
Lizard,1,have_tail,Animal
Lizard,1,have_long_tail,Animal
Lizard,1,have_skin,Animal
Lizard,1,have_scaly_skin,Animal
Lizard,1,are_reptiles,Animal
Lizard,1,are_cold-blooded_reptiles,Animal
Lizard,1,can_vary_in_size,Animal
Lizard,1,can_vary_in_color,Animal
Lizard,1,can_vary_in_shape,Animal
Lizard,1,can_fly,Animal
Lizard,1,can_glide,Animal
Lizard,2,have_legs,Animal
Lizard,2,have_four_legs,Animal
Lizard,2,have_tail,Animal
Lizard,2,have_long_tail,Animal
Lizard,2,have_skin,Animal
Lizard,2,have_scaly_skin,Animal
Lizard,3,have_teeth,Animal
Lizard,3,have_sharp_teeth,Animal
Lizard,3,can_climb,Animal
Lizard,3,can_climb_trees,Animal
Lizard,3,can_camouflage,Animal
Lizard,4,can_lay_eggs,Animal
Lizard,4,can_change_color,Animal
Lizard,4,can_run_fast,Animal
Lizard,5,are_carnivores,Animal
Lizard,5,are_ectothermic,Animal
Lizard,5,have_eyesight,Animal
Lizard,5,have_good_eyesight,Animal
Tortoise,1,have_shell,Animal
Tortoise,1,have_hard_shell,Animal
Tortoise,1,have_head,Animal
Tortoise,1,can_withdraw_head,Animal
Tortoise,1,have_legs,Animal
Tortoise,1,have_four_legs,Animal
Tortoise,1,have_short_legs,Animal
Tortoise,1,have_tail,Animal
Tortoise,1,have_long_tail,Animal
Tortoise,2,are_slow_moving,Animal
Tortoise,2,can_live_long,Animal
Tortoise,3,are_herbivore,Animal
Tortoise,3,have_hearing,Animal
Tortoise,3,have_good_hearing,Animal
Tortoise,4,can_vary_in_size,Animal
Tortoise,4,can_vary_in_shell_color,Animal
Tortoise,5,are_cold-blooded,Animal
Tortoise,5,have_heart_rate,Animal
Tortoise,5,have_slow_heart_rate,Animal
Cobra,1,have_body,Animal
Cobra,1,have_long_body,Animal
Cobra,1,have_slender_body,Animal
Cobra,1,have_head,Animal
Cobra,1,have_large_head,Animal
Cobra,1,have_triangular_head,Animal
Cobra,1,have_hood,Animal
Cobra,1,have_flaring_hood,Animal
Cobra,1,have_venom,Animal
Cobra,1,have_toxic_venom,Animal
Cobra,1,can_spit,Animal
Cobra,1,can_spit_up_to_10_feet,Animal
Cobra,1,lives_in_Africa,Animal
Cobra,1,live_in_Asia,Animal
Cobra,1,lives_in_Australia,Animal
Cobra,2,are_carnivors,Animal
Cobra,2,are_reptiles,Animal
Cobra,2,lives_in_Africa,Animal
Cobra,2,lives_in_Asia,Animal
Cobra,2,have_body,Animal
Cobra,2,have_long_body,Animal
Cobra,2,have_slender_body,Animal
Cobra,2,are_brown,Animal
Cobra,2,are_green,Animal
Cobra,3,have_body,Animal
Cobra,3,have_long_body,Animal
Cobra,3,have_thin_body,Animal
Cobra,3,have_hood,Animal
Cobra,3,have_opening_hood,Animal
Cobra,3,have_eyes,Animal
Cobra,3,have_large_eyes,Animal
Cobra,3,have_fangs,Animal
Cobra,3,have_long_fangs,Animal
Cobra,3,have_sharp_fangs,Animal
Cobra,3,have_venom,Animal
Cobra,3,can_inject_venom,Animal
Cobra,3,are_fast,Animal
Cobra,3,are_agile,Animal
Cobra,3,can_climb,Animal
Cobra,3,can_climb_trees,Animal
Cobra,3,can_swim,Animal
Cobra,4,are_members_of_the_snake_family,Animal
Cobra,4,lives_in_Africa,Animal
