,concept,embed_1,embed_2,embed_3,category
0,Chess,-0.04139295,0.054399714,-0.10852769,Activities
1,Cooking,-0.18023133,-0.23886482,0.25104326,Activities
2,Driving,-0.1145079,0.10862847,-0.11476906,Activities
3,Fashion,0.047136784,0.0038328266,-0.05938217,Activities
4,Karate,-0.23164769,-0.089999676,0.16810705,Activities
5,Knitting,0.17043884,0.015260162,-0.0669007,Activities
6,Reading,-0.0631268,0.02143005,-0.2519527,Activities
7,Robotics,0.14817373,0.05054261,-0.020930823,Activities
8,Shopping,-0.052268934,0.20258097,0.028534507,Activities
9,Weightlifting,0.15031436,-0.12546006,0.22375706,Activities
10,Woodworking,0.07686685,0.15989469,-0.100650884,Activities
11,Yoga,-0.20439418,-0.22342727,0.139126,Activities
12,Adult,0.17811993,-0.049505122,0.08007743,Age
13,Baby,0.18375249,-0.14033744,-0.25127345,Age
14,Beautiful,0.26756904,-0.017291237,-0.053316403,Appearance
15,Healthy,-0.12946044,-0.05403417,0.10497294,Appearance
16,Ugly,-0.11313405,0.11898497,-0.23896964,Appearance
17,Unhealthy,-0.24844939,0.123989634,-0.19712335,Appearance
18,Rural,-0.2040089,-0.22455871,0.1501761,Area
19,Urban,0.2610369,-0.11707278,0.18320884,Area
20,Angry,0.16544484,0.029264655,0.049872648,Attitudes
21,Confident,-0.1623663,-0.1312688,0.2182784,Attitudes
22,Hard-working,0.13815325,0.07375923,-0.044104002,Attitudes
23,Jealous,-0.15249215,-0.06312233,0.1325728,Attitudes
24,Lazy,0.09639156,0.045229286,0.032150198,Attitudes
25,Strong,-0.047435667,0.2678465,-0.13981113,Attitudes
26,Weak,-0.0020121757,0.15708926,-0.13836323,Attitudes
27,Obese,0.113254815,0.09714589,-0.0069057913,BMI
28,College,-0.19314955,-0.105779506,0.18957938,Education
29,Dropout,-0.004178803,0.14879566,-0.107491635,Education
30,Cis,0.1740028,0.11800264,-0.08280378,Gender
31,Man,0.11062407,-0.21747652,0.11825188,Gender
32,Woman,-0.017730322,-0.2901362,0.09661156,Gender
33,Homeless,0.020986235,0.054532528,0.22400837,Housing
34,Homeowner,-0.008580829,0.037788376,-0.014126471,Housing
35,Citizen,-0.19818208,-0.23609209,0.10860936,Immigration
36,Immigrant,-0.13927944,-0.07360984,0.1362496,Immigration
37,Middle class,0.12812836,0.052412655,-0.13179857,Income
38,Poor,-0.0015096809,0.022809424,-0.21484745,Income
39,Wealthy,0.033086494,-0.25051543,0.1965635,Income
40,Dumb,0.16827454,0.03920856,-0.030333975,Intelligence
41,Logical,-0.11250584,-0.15277185,0.13771112,Intelligence
42,Smart,-0.12702565,-0.06523956,-0.14638363,Intelligence
43,Street-smart,0.06181633,-0.108193636,-0.11170528,Intelligence
44,Anxious,0.2530258,-0.038645696,0.0321773,Mental_health
45,Crazy,0.066659,0.08232589,-0.1425286,Mental_health
46,Sane,-0.2009323,-0.1714464,0.2590342,Mental_health
47,Accomplished,0.000414241,-0.16854833,-0.14300075,Mood
48,Aggressive,0.123803906,-0.20977227,-0.2445625,Mood
49,Annoyed,0.24414806,-0.09672982,0.048919234,Mood
50,Calm,0.25411063,-0.08999244,0.13852718,Mood
51,Curious,-0.09073114,-0.1274199,0.2530371,Mood
52,Cynical,0.06518827,0.12312267,0.008686403,Mood
53,Dirty,-0.027907632,0.07326307,-0.08033956,Mood
54,Drunk,-0.27510738,-0.10558697,0.19442368,Mood
55,Energetic,0.02072479,0.02180807,-0.043786973,Mood
56,Flirty,-0.32482743,-0.13313003,0.108103365,Mood
57,Good,-0.19663672,-0.012018355,-0.038851816,Mood
58,Happy,0.06756555,0.036881056,-0.09668291,Mood
59,Lonely,0.15220487,0.031722855,0.011049811,Mood
60,Moody,-0.06757419,-0.14063215,0.1510339,Mood
61,Naughty,-0.16544561,0.004877027,0.15212512,Mood
62,Nerdy,0.1615661,0.06483483,0.09974944,Mood
63,Optimistic,-0.00736669,0.053532366,0.05650917,Mood
64,Passive,-0.07774082,0.2326508,-0.0017605665,Mood
65,Peaceful,0.15071623,0.16388945,-0.11385965,Mood
66,Pessimistic,0.12980136,0.2421658,-0.16151339,Mood
67,Sad,0.19050065,0.10349946,-0.13111863,Mood
68,Social,-0.30481368,-0.14984325,-0.071879044,Mood
69,Sympathetic,0.033943318,0.21572748,-0.122725256,Mood
70,Doctor,0.16895032,-0.017965643,0.06144404,Occupation
71,Engineer,-0.18696968,0.21373677,0.06510032,Occupation
72,Flight attendant,0.14659335,0.16534358,0.0019596717,Occupation
73,Nurse,0.07067428,0.11260192,-0.08854913,Occupation
74,Pilot,0.045751292,0.112474315,0.038379826,Occupation
75,Professor,0.1904817,0.1331764,-0.05046737,Occupation
76,Scientist,-0.18806086,-0.020530378,-0.03748394,Occupation
77,Secretary,0.0018751408,0.10859105,-0.027634703,Occupation
78,Soldier,-0.1802969,0.27209726,-0.1549126,Occupation
79,Student,-0.12801352,0.27624455,-0.18137209,Occupation
80,Conservative,0.057418276,0.04603732,-0.13798895,Political_group
81,Democrat,-0.23097453,-0.1613799,0.15189727,Political_group
82,Fascist,-0.28449053,-0.13126057,0.13768868,Political_group
83,Liberal,-0.03364439,-0.12603849,0.26765653,Political_group
84,Republican,0.18526733,0.005101584,-0.24734694,Political_group
85,Socialist,-0.16133127,0.07144379,-0.021082558,Political_group
86,African American,0.26026464,-0.10749733,0.1104992,Race
87,American Indian,0.15331843,-0.1311529,-0.25834998,Race
88,Asian,0.0587231,0.21924973,-0.25840625,Race
89,Caucasian,-0.0008859852,0.10557584,-0.07797301,Race
90,Hispanic,-0.18264727,-0.03822745,-0.14471713,Race
91,Christian,0.01211175,-0.23411545,-0.085653365,Religion
92,Muslim,-0.28047293,-0.26844233,0.20844842,Religion
93,Bisexual,0.2297071,0.18714371,-0.24479505,Sexual_identity
94,Gay,0.056040917,0.10436665,-0.0422835,Sexual_identity
95,Heterosexual,-0.025900234,-0.04340084,0.12531072,Sexual_identity
96,Lesbian,0.097007364,0.09174599,0.13936931,Sexual_identity
97,Queer,0.098021805,0.14286341,-0.090135105,Sexual_identity
98,Immune,-0.07626533,0.08504391,0.051205773,Vaccine_status
99,Vaccinated,0.19085461,-0.19988073,0.2198119,Vaccine_status
100,Loser,0.16348098,0.05178671,-0.038261656,Victory_status
101,Winner,0.19336252,0.22533073,-0.21100056,Victory_status
