head,left,right,winner,sampler,score,puid,response_time,network_latency,time_received,loser,left_html,right_html,head_html,winner_html,loser_html,left_filename,right_filename,head_filename,winner_filename,loser_filename,time_received_since_start,datetime_received,start_time,puid_num_responses,num_responses
12,23,74,23,Random,-9999.0,473f448cb2ab2122,10.333000183105469,0.2049999237060547,1658780740.835,74,Obese,Flight attendant,Baby,Obese,Flight attendant,Obese,Flight attendant,Baby,Obese,Flight attendant,305.2463207244873,2022-07-25T20:25:40.835000,1658780435.5886793,1,1
17,79,5,79,Random,-9999.0,473f448cb2ab2122,5.371000051498413,0.22300004959106445,1658780746.424,5,Unhealthy,Reading,Angry,Unhealthy,Reading,Unhealthy,Reading,Angry,Unhealthy,Reading,310.83532071113586,2022-07-25T20:25:46.424000,1658780435.5886793,2,2
81,47,22,22,Random,-9999.0,009c46b5fe388a11,18.94099998474121,0.21600008010864255,1658780751.548,47,Lonely,Hard-working,Democrat,Hard-working,Lonely,Lonely,Hard-working,Democrat,Hard-working,Lonely,315.9593207836151,2022-07-25T20:25:51.548000,1658780435.5886793,1,3
2,68,58,58,Random,-9999.0,009c46b5fe388a11,2.633999824523926,0.32700014114379883,1658780754.505,68,Doctor,Flirty,Knitting,Flirty,Doctor,Doctor,Flirty,Knitting,Flirty,Doctor,318.91632080078125,2022-07-25T20:25:54.505000,1658780435.5886793,2,4
87,35,56,56,Random,-9999.0,fe45e6534c29bb04,13.94000005722046,0.187999963760376,1658780754.697,35,Middleーclass,Happy,Caucasian,Happy,Middleーclass,Middleーclass,Happy,Caucasian,Happy,Middleーclass,319.1083207130432,2022-07-25T20:25:54.697000,1658780435.5886793,1,5
82,44,43,44,Random,-9999.0,009c46b5fe388a11,2.5220000743865967,0.25,1658780757.293,43,Aggressive,Anxious,Liberal,Aggressive,Anxious,Aggressive,Anxious,Liberal,Aggressive,Anxious,321.7043206691742,2022-07-25T20:25:57.293000,1658780435.5886793,3,6
59,8,52,8,Random,-9999.0,fe45e6534c29bb04,4.075999975204468,0.18900012969970703,1658780758.963,52,Robotics,Optimistic,Energetic,Robotics,Optimistic,Robotics,Optimistic,Energetic,Robotics,Optimistic,323.37432074546814,2022-07-25T20:25:58.963000,1658780435.5886793,2,7
42,33,97,97,Random,-9999.0,009c46b5fe388a11,1.809000015258789,0.25,1658780759.244,33,Immigrant,Queer,Crazy,Queer,Immigrant,Immigrant,Queer,Crazy,Queer,Immigrant,323.65532064437866,2022-07-25T20:25:59.244000,1658780435.5886793,4,8
10,100,68,68,Random,-9999.0,c1e339304d8f3290,42.32300019264221,1.2879998683929443,1658780761.622,100,Winner,Doctor,Yoga,Doctor,Winner,Winner,Doctor,Yoga,Doctor,Winner,326.0333206653595,2022-07-25T20:26:01.622000,1658780435.5886793,1,9
37,34,59,34,Random,-9999.0,4c6f016c7d4a7203,6.38100004196167,0.24600005149841309,1658780762.041,59,Poor,Energetic,Dumb,Poor,Energetic,Poor,Energetic,Dumb,Poor,Energetic,326.4523205757141,2022-07-25T20:26:02.041000,1658780435.5886793,1,10
101,77,53,77,Random,-9999.0,fe45e6534c29bb04,4.547999858856201,0.19099998474121097,1658780763.695,53,Ugly,Nerdy,Loser,Ugly,Nerdy,Ugly,Nerdy,Loser,Ugly,Nerdy,328.10632061958313,2022-07-25T20:26:03.695000,1658780435.5886793,3,11
86,94,39,39,Random,-9999.0,009c46b5fe388a11,5.036999940872192,0.1530001163482666,1658780764.535,94,Lesbian,Street-smart,Hispanic,Street-smart,Lesbian,Lesbian,Street-smart,Hispanic,Street-smart,Lesbian,328.946320772171,2022-07-25T20:26:04.535000,1658780435.5886793,5,12
5,94,55,94,Random,-9999.0,9cdc64c34a376878,23.73199987411499,0.22300004959106445,1658780765.222,55,Lesbian,Moody,Reading,Lesbian,Moody,Lesbian,Moody,Reading,Lesbian,Moody,329.63332056999207,2022-07-25T20:26:05.222000,1658780435.5886793,1,13
32,19,38,38,Random,-9999.0,009c46b5fe388a11,1.686000108718872,0.24000000953674316,1658780766.35,19,Weak,Smart,Citizen,Smart,Weak,Weak,Smart,Citizen,Smart,Weak,330.7613205909729,2022-07-25T20:26:06.350000,1658780435.5886793,6,14
92,32,63,32,Random,-9999.0,4c6f016c7d4a7203,4.746000051498413,0.2569999694824219,1658780767.031,63,Citizen,Curious,Muslim,Citizen,Curious,Citizen,Curious,Muslim,Citizen,Curious,331.44232058525085,2022-07-25T20:26:07.031000,1658780435.5886793,2,15
4,48,61,61,Random,-9999.0,009c46b5fe388a11,1.7220001220703125,0.12899994850158691,1658780768.211,48,Sympathetic,Dirty,Woodworking,Dirty,Sympathetic,Sympathetic,Dirty,Woodworking,Dirty,Sympathetic,332.62232065200806,2022-07-25T20:26:08.211000,1658780435.5886793,7,16
51,33,19,19,Random,-9999.0,c1e339304d8f3290,6.994000196456909,0.2589998245239258,1658780768.852,33,Immigrant,Weak,Peaceful,Weak,Immigrant,Immigrant,Weak,Peaceful,Weak,Immigrant,333.263320684433,2022-07-25T20:26:08.852000,1658780435.5886793,2,17
12,48,55,55,Random,-9999.0,9cdc64c34a376878,3.8289999961853023,0.24499988555908203,1658780769.399,48,Sympathetic,Moody,Baby,Moody,Sympathetic,Sympathetic,Moody,Baby,Moody,Sympathetic,333.81032061576843,2022-07-25T20:26:09.399000,1658780435.5886793,2,18
11,58,52,52,Random,-9999.0,4c6f016c7d4a7203,2.5399999618530273,0.25099992752075195,1658780769.827,58,Flirty,Optimistic,Chess,Optimistic,Flirty,Flirty,Optimistic,Chess,Optimistic,Flirty,334.23832058906555,2022-07-25T20:26:09.827000,1658780435.5886793,3,19
93,41,79,79,Random,-9999.0,009c46b5fe388a11,2.2269999980926514,0.13499999046325684,1658780770.68,41,Sane,Unhealthy,Gay,Unhealthy,Sane,Sane,Unhealthy,Gay,Unhealthy,Sane,335.09132075309753,2022-07-25T20:26:10.680000,1658780435.5886793,8,20
85,39,43,39,Random,-9999.0,fe45e6534c29bb04,7.127000093460083,0.18600010871887207,1658780771.012,43,Street-smart,Anxious,Socialist,Street-smart,Anxious,Street-smart,Anxious,Socialist,Street-smart,Anxious,335.4233207702637,2022-07-25T20:26:11.012000,1658780435.5886793,4,21
62,75,48,48,Random,-9999.0,c1e339304d8f3290,2.4600000381469727,0.23599982261657715,1658780771.557,75,Pilot,Sympathetic,Cynical,Sympathetic,Pilot,Pilot,Sympathetic,Cynical,Sympathetic,Pilot,335.96832060813904,2022-07-25T20:26:11.557000,1658780435.5886793,3,22
50,35,25,25,Random,-9999.0,4c6f016c7d4a7203,1.8269999027252195,0.2560000419616699,1658780771.795,35,Middleーclass,Dropout,Sad,Dropout,Middleーclass,Middleーclass,Dropout,Sad,Dropout,Middleーclass,336.2063207626343,2022-07-25T20:26:11.795000,1658780435.5886793,4,23
24,14,0,14,Validation,0.0,009c46b5fe388a11,2.1019999980926514,0.35700011253356934,1658780773.136,0,Urban,Driving,College,Urban,Driving,Urban,Driving,College,Urban,Driving,337.54732060432434,2022-07-25T20:26:13.136000,1658780435.5886793,9,24
87,63,0,63,Random,-9999.0,9cdc64c34a376878,4.062000036239624,0.24200010299682617,1658780773.715,0,Curious,Driving,Caucasian,Curious,Driving,Curious,Driving,Caucasian,Curious,Driving,338.12632060050964,2022-07-25T20:26:13.715000,1658780435.5886793,3,25
38,60,26,26,Random,-9999.0,4c6f016c7d4a7203,1.9049999713897705,0.1380000114440918,1658780774.035,60,Annoyed,Man,Smart,Man,Annoyed,Annoyed,Man,Smart,Man,Annoyed,338.446320772171,2022-07-25T20:26:14.035000,1658780435.5886793,5,26
69,64,58,64,Random,-9999.0,c1e339304d8f3290,2.623999834060669,0.25,1658780774.456,58,Accomplished,Flirty,Engineer,Accomplished,Flirty,Accomplished,Flirty,Engineer,Accomplished,Flirty,338.8673207759857,2022-07-25T20:26:14.456000,1658780435.5886793,4,27
