,concept,embed_1,embed_2,embed_3,category
0,Alligator,0.059430767,0.08462174,0.00058763433,reptile
1,Blindworm,0.30250585,0.2107891,-0.44522116,reptile
2,Boa python,0.040706865,0.090142176,-0.005103353,reptile
3,Caiman,0.029198276,0.05725221,-0.042222098,reptile
4,Chameleon,0.0952372,0.19558938,-0.07652158,reptile
5,Cobra,-0.001198315,0.011628778,0.027049584,reptile
6,Crocodile,0.08592677,0.08399065,-0.05759288,reptile
7,Dinosaur,0.025813838,0.033662923,-0.06872402,reptile
8,Gecko,0.074919835,0.113415815,-0.12606743,reptile
9,Lizard,0.13986135,0.15913585,-0.06742525,reptile
10,Salamander,0.07225336,0.47653455,-0.007027077,reptile
11,Snake,0.29119775,0.19109972,0.05383893,reptile
12,Toad,0.27566373,0.029966358,-0.3222676,reptile
13,Tortoise,0.63230455,0.57534355,-0.5459829,reptile
14,Turtle,0.3290771,0.30299765,-0.031663135,reptile
15,Anvil,-0.07235995,-0.09839249,0.084052384,tool
16,Axe,-0.05991773,-0.02578053,0.05010074,tool
17,Chisel,-0.12815952,-0.11482632,0.16381268,tool
18,Grinding disk,0.26252764,-0.42802873,0.5288788,tool
19,Hammer,-0.12349601,-0.12620574,0.13454172,tool
20,Knife,-0.026622366,-0.12931809,0.15587693,tool
21,Lawn Mower,-0.40742403,-0.38867018,-0.3673586,tool
22,Nail,-0.059098057,-0.07639613,0.12858173,tool
23,Oil can,-0.19874331,-0.1266723,-0.16714792,tool
24,Paint brush,-0.20220436,0.2584966,0.32859364,tool
25,Saw,0.0063097053,-0.14734474,0.0912793,tool
26,Screwdriver,-0.4189621,-0.17313416,0.44982,tool
27,Shovel,-0.42829615,0.012266332,0.08230115,tool
28,Spanner,-0.2551653,-0.31337595,0.2950505,tool
29,Vacuum,-0.5585052,-0.89101875,-0.6226366,tool
