,concept,embed_1,embed_2,embed_3,category
0,Alligator,0.13979329,-0.13814375,-0.13723168,reptile
1,Blindworm,0.14634594,-0.15638179,-0.15501083,reptile
2,Boa python,0.20780516,-0.19986115,-0.20389546,reptile
3,Caiman,0.09747185,-0.09468671,-0.09573833,reptile
4,Chameleon,0.1641264,-0.16127814,-0.16168593,reptile
5,Cobra,0.18880686,-0.17697383,-0.18049663,reptile
6,Crocodile,0.122806944,-0.1182446,-0.118827775,reptile
7,Dinosaur,0.18432951,-0.17974773,-0.17811236,reptile
8,Gecko,0.1936936,-0.1885066,-0.18908983,reptile
9,Lizard,0.19037521,-0.18494408,-0.18600734,reptile
10,Salamander,0.2088611,-0.20177847,-0.20372923,reptile
11,Snake,0.23153394,-0.22561035,-0.22717191,reptile
12,Toad,0.14743249,-0.14848815,-0.14556432,reptile
13,Tortoise,0.13634267,-0.13436864,-0.12996508,reptile
14,Turtle,0.14455526,-0.14337784,-0.14128664,reptile
15,Anvil,-0.1796394,0.17394452,0.176637,tool
16,Axe,-0.15393692,0.14413705,0.14648399,tool
17,Chisel,-0.18664402,0.18285364,0.18744722,tool
18,Grinding disk,-0.20595695,0.2015662,0.20579697,tool
19,Hammer,-0.14767027,0.14950956,0.15441027,tool
20,Knife,-0.16866536,0.16560349,0.17057201,tool
21,Lawn Mower,-0.13813145,0.12411388,0.11834936,tool
22,Nail,-0.16405873,0.16221702,0.17021349,tool
23,Oil can,-0.17386262,0.17196885,0.16267961,tool
24,Paint brush,-0.21233314,0.2114625,0.21556465,tool
25,Saw,-0.14132668,0.13577071,0.14017366,tool
26,Screwdriver,-0.1728844,0.16802676,0.17029737,tool
27,Shovel,-0.1602698,0.1560855,0.15523843,tool
28,Spanner,-0.1248401,0.12217627,0.122198,tool
29,Vacuum,-0.2636122,0.263302,0.25255632,tool
