,tweet_id,created_at,tweet,label_majority,month,tweet_embedded
0,1421909307583512576,2021-08-01 19:02:51+00:00,"if you in spanish town, st jago park isn't full and things are flowing quickly. come get your vaccine #vaccinateja",FAVOR,2021-08,"What is the stance of the following tweet with respect to COVID-19 vaccine?  Here is the tweet. ""if you in spanish town, st jago park isn't full and things are flowing quickly. come get your vaccine #vaccinateja""  Please use one of the following 3 categories to label it: ""in favor"", ""against"", ""neutral""."
1,1421734095525122051,2021-08-01 07:26:37+00:00,"breaking report: cdc used rejected study from india on vaccine, not approved in the us to justify new mask mandate...",AGAINST,2021-08,"What is the stance of the following tweet with respect to COVID-19 vaccine?  Here is the tweet. ""breaking report: cdc used rejected study from india on vaccine, not approved in the us to justify new mask mandate...""  Please use one of the following 3 categories to label it: ""in favor"", ""against"", ""neutral""."
2,1421888980644077569,2021-08-01 17:42:05+00:00,covid clusters among the vaccinated are killing our back-to-normal dreams,AGAINST,2021-08,"What is the stance of the following tweet with respect to COVID-19 vaccine?  Here is the tweet. ""covid clusters among the vaccinated are killing our back-to-normal dreams""  Please use one of the following 3 categories to label it: ""in favor"", ""against"", ""neutral""."
3,1421977913117794307,2021-08-01 23:35:28+00:00,so they had an on-site vaccination at work and they didn’t get the vaccine. now there is a go fund me page.. she should now show her vaccination card before taking peoples money. i am sick of these people endangering our families. they had time for vacation but not a 15 min shot,FAVOR,2021-08,"What is the stance of the following tweet with respect to COVID-19 vaccine?  Here is the tweet. ""so they had an on-site vaccination at work and they didn’t get the vaccine. now there is a go fund me page.. she should now show her vaccination card before taking peoples money. i am sick of these people endangering our families. they had time for vacation but not a 15 min shot""  Please use one of the following 3 categories to label it: ""in favor"", ""against"", ""neutral""."
4,1421797848404856834,2021-08-01 11:39:57+00:00,what a dumb bunny.  it's a leaky vaccine and you are driving covid to greater and greater evolutionary heights.,AGAINST,2021-08,"What is the stance of the following tweet with respect to COVID-19 vaccine?  Here is the tweet. ""what a dumb bunny.  it's a leaky vaccine and you are driving covid to greater and greater evolutionary heights.""  Please use one of the following 3 categories to label it: ""in favor"", ""against"", ""neutral""."
5,1421916947193634817,2021-08-01 19:33:12+00:00,verifiable proof of vaccination should be a requirement to travel by air.,FAVOR,2021-08,"What is the stance of the following tweet with respect to COVID-19 vaccine?  Here is the tweet. ""verifiable proof of vaccination should be a requirement to travel by air.""  Please use one of the following 3 categories to label it: ""in favor"", ""against"", ""neutral""."
6,1421884583360950272,2021-08-01 17:24:36+00:00,barring mask requirements in schools with a delta variant raging and kids under 12 unvaccinated is a strategy to get kids sick … or worse.,FAVOR,2021-08,"What is the stance of the following tweet with respect to COVID-19 vaccine?  Here is the tweet. ""barring mask requirements in schools with a delta variant raging and kids under 12 unvaccinated is a strategy to get kids sick … or worse.""  Please use one of the following 3 categories to label it: ""in favor"", ""against"", ""neutral""."
7,1421903062227054594,2021-08-01 18:38:02+00:00,we got a virus and you gave us a vaccine.,NONE,2021-08,"What is the stance of the following tweet with respect to COVID-19 vaccine?  Here is the tweet. ""we got a virus and you gave us a vaccine.""  Please use one of the following 3 categories to label it: ""in favor"", ""against"", ""neutral""."
8,1421681144421048322,2021-08-01 03:56:13+00:00,so let me get this straight… the people spreading the virus are all vaccinated??  the messaging is quite confusing!!!,AGAINST,2021-08,"What is the stance of the following tweet with respect to COVID-19 vaccine?  Here is the tweet. ""so let me get this straight… the people spreading the virus are all vaccinated??  the messaging is quite confusing!!!""  Please use one of the following 3 categories to label it: ""in favor"", ""against"", ""neutral""."
9,1421956898493018117,2021-08-01 22:11:57+00:00,"""less than 0.001% of fully vaccinated americans died after a covid-19 breakthrough case""..",FAVOR,2021-08,"What is the stance of the following tweet with respect to COVID-19 vaccine?  Here is the tweet. """"less than 0.001% of fully vaccinated americans died after a covid-19 breakthrough case""..""  Please use one of the following 3 categories to label it: ""in favor"", ""against"", ""neutral""."
10,1421958897955491843,2021-08-01 22:19:54+00:00,israel: demonstration in telaviv against the reintroduction of vaccination passports..(credit: anonyme citoyen),AGAINST,2021-08,"What is the stance of the following tweet with respect to COVID-19 vaccine?  Here is the tweet. ""israel: demonstration in telaviv against the reintroduction of vaccination passports..(credit: anonyme citoyen)""  Please use one of the following 3 categories to label it: ""in favor"", ""against"", ""neutral""."
