,concept,embed_1,embed_2,embed_3,category
0,Alligator,-0.15287673,-0.14848655,-0.10964476,reptile
1,Blindworm,-0.4880816,-0.4960758,-0.49746013,reptile
2,Boa python,-0.18005642,-0.34257025,-0.32398745,reptile
3,Caiman,-0.101101086,-0.20553084,-0.07667679,reptile
4,Chameleon,-0.06636626,-0.052558795,-0.10101815,reptile
5,Cobra,-0.27576363,-0.02579683,-0.10565992,reptile
6,Crocodile,-0.16264538,-0.1669378,-0.111580774,reptile
7,Dinosaur,-0.10881925,-0.15771042,-0.09849155,reptile
8,Gecko,0.046588745,-0.09205236,-0.17642507,reptile
9,Lizard,-0.12547866,-0.107718945,-0.07054203,reptile
10,Salamander,-0.14096099,-0.21791519,-0.24059185,reptile
11,Snake,-0.1493025,-0.15533961,-0.13592309,reptile
12,Toad,-0.16177888,0.049871262,-0.16383229,reptile
13,Tortoise,-0.10631597,-0.11777411,-0.17129847,reptile
14,Turtle,-0.0767768,-0.1090422,-0.092155874,reptile
15,Anvil,0.049848594,0.04283011,0.094292894,tool
16,Axe,0.25955856,0.007887861,0.24696222,tool
17,Chisel,0.084260225,0.07505291,0.15662988,tool
18,Grinding disk,-0.14467596,0.34392545,0.46147504,tool
19,Hammer,0.074640565,0.077074885,0.12782438,tool
20,Knife,0.06810125,0.09374063,0.22670121,tool
21,Lawn Mower,0.3096683,0.32589075,0.23001766,tool
22,Nail,0.00047356248,0.06940492,0.2618261,tool
23,Oil can,0.3996041,0.30367208,-0.1293608,tool
24,Paint brush,0.18971293,0.13913731,0.10815028,tool
25,Saw,0.07655517,0.11771377,0.1844205,tool
26,Screwdriver,0.14960226,0.13761955,0.0804425,tool
27,Shovel,0.12049926,0.10614469,0.1468036,tool
28,Spanner,0.06545855,0.067381114,0.104497574,tool
29,Vacuum,0.3964335,0.37179375,0.15423813,tool
