,concept,embed_1,embed_2,embed_3,category
0,Alligator,0.094706036,0.13502143,0.12548034,reptile
1,Blindworm,0.39073858,-0.1851085,0.31245375,reptile
2,Boa python,-0.19748518,0.46206522,0.32490057,reptile
3,Caiman,0.091669604,0.08467803,0.040287532,reptile
4,Chameleon,0.111013226,0.16256909,0.24874486,reptile
5,Cobra,0.04796492,0.049198225,0.036486737,reptile
6,Crocodile,0.06729695,0.077161364,0.07596578,reptile
7,Dinosaur,0.06704135,0.06522043,0.119871035,reptile
8,Gecko,0.013417754,0.1020436,0.23284747,reptile
9,Lizard,0.14264698,0.112828925,0.1408226,reptile
10,Salamander,0.1611953,0.2389617,0.26248702,reptile
11,Snake,0.19367126,0.52521586,0.37397268,reptile
12,Toad,0.29725954,0.05376244,0.050331235,reptile
13,Tortoise,0.63213617,0.32481828,0.46870065,reptile
14,Turtle,0.24675937,0.17203191,0.18855223,reptile
15,Anvil,-0.070373185,-0.05854619,-0.066948384,tool
16,Axe,-0.07366549,-0.05245979,-0.027035793,tool
17,Chisel,-0.14861004,-0.09874149,-0.10562841,tool
18,Grinding disk,-0.15829568,0.37314314,-0.62434226,tool
19,Hammer,-0.10860213,-0.070983596,-0.123308584,tool
20,Knife,-0.18077068,-0.025033643,-0.19815083,tool
21,Lawn Mower,-0.4706125,-0.42037374,0.35672167,tool
22,Nail,0.0106979245,-0.009164897,-0.0693492,tool
23,Oil can,0.055929303,-0.33522674,-0.30613446,tool
24,Paint brush,0.16215946,-0.29233596,-0.11147173,tool
25,Saw,-0.11219975,-0.006490671,-0.0927422,tool
26,Screwdriver,-0.40496603,-0.1972228,-0.4162527,tool
27,Shovel,-0.2004208,-0.19981496,0.029086232,tool
28,Spanner,-0.32544506,-0.1700701,-0.30123484,tool
29,Vacuum,-1.0053383,-1.0024105,-0.8471841,tool
