subjectID,concept_1,concept_2,response_clean,pair_set
9c3uokgnkc,alligator,anvil,0,"('alligator', 'anvil')"
u0t1xkrr0k,alligator,anvil,0,"('alligator', 'anvil')"
u0t1xkrr0k,alligator,anvil,0,"('alligator', 'anvil')"
u0t1xkrr0k,alligator,anvil,0,"('alligator', 'anvil')"
9c3uokgnkc,alligator,axe,1,"('alligator', 'axe')"
t0sc9xo37h,alligator,axe,0,"('alligator', 'axe')"
7wjajxhlft,alligator,axe,0,"('alligator', 'axe')"
49qbegbyj2,alligator,axe,3,"('alligator', 'axe')"
7g1fal9av9,alligator,axe,3,"('alligator', 'axe')"
u0t1xkrr0k,alligator,blindworm,2,"('alligator', 'blindworm')"
49qbegbyj2,alligator,blindworm,4,"('alligator', 'blindworm')"
k1zxdp69ly,alligator,boa,5,"('alligator', 'boa')"
oetk65eov3,alligator,boa,4,"('alligator', 'boa')"
7wjajxhlft,alligator,boa,0,"('alligator', 'boa')"
vlfvz9pzpp,alligator,boa,6,"('alligator', 'boa')"
9c3uokgnkc,alligator,caiman,6,"('alligator', 'caiman')"
d44f8n2x63,alligator,caiman,6,"('alligator', 'caiman')"
t0sc9xo37h,alligator,caiman,5,"('alligator', 'caiman')"
49qbegbyj2,alligator,caiman,3,"('alligator', 'caiman')"
7g1fal9av9,alligator,caiman,5,"('alligator', 'caiman')"
t0sc9xo37h,alligator,chameleon,4,"('alligator', 'chameleon')"
fg4vb7ldf9,alligator,chameleon,4,"('alligator', 'chameleon')"
vlfvz9pzpp,alligator,chameleon,4,"('alligator', 'chameleon')"
7g1fal9av9,alligator,chameleon,3,"('alligator', 'chameleon')"
7g1fal9av9,alligator,chameleon,3,"('alligator', 'chameleon')"
9c3uokgnkc,alligator,chisel,0,"('alligator', 'chisel')"
k1zxdp69ly,alligator,chisel,0,"('alligator', 'chisel')"
k1zxdp69ly,alligator,chisel,0,"('alligator', 'chisel')"
k1zxdp69ly,alligator,chisel,0,"('alligator', 'chisel')"
k1zxdp69ly,alligator,chisel,0,"('alligator', 'chisel')"
oetk65eov3,alligator,chisel,0,"('alligator', 'chisel')"
d44f8n2x63,alligator,chisel,0,"('alligator', 'chisel')"
d44f8n2x63,alligator,chisel,0,"('alligator', 'chisel')"
u0t1xkrr0k,alligator,chisel,0,"('alligator', 'chisel')"
u0t1xkrr0k,alligator,chisel,0,"('alligator', 'chisel')"
u0t1xkrr0k,alligator,chisel,0,"('alligator', 'chisel')"
7wjajxhlft,alligator,chisel,0,"('alligator', 'chisel')"
7wjajxhlft,alligator,chisel,0,"('alligator', 'chisel')"
9c3uokgnkc,alligator,cobra,5,"('alligator', 'cobra')"
oetk65eov3,alligator,cobra,4,"('alligator', 'cobra')"
t0sc9xo37h,alligator,cobra,2,"('alligator', 'cobra')"
u0t1xkrr0k,alligator,cobra,4,"('alligator', 'cobra')"
u0t1xkrr0k,alligator,cobra,4,"('alligator', 'cobra')"
u0t1xkrr0k,alligator,cobra,4,"('alligator', 'cobra')"
7wjajxhlft,alligator,cobra,0,"('alligator', 'cobra')"
7wjajxhlft,alligator,cobra,4,"('alligator', 'cobra')"
fg4vb7ldf9,alligator,cobra,4,"('alligator', 'cobra')"
fg4vb7ldf9,alligator,cobra,4,"('alligator', 'cobra')"
vlfvz9pzpp,alligator,cobra,5,"('alligator', 'cobra')"
7g1fal9av9,alligator,cobra,3,"('alligator', 'cobra')"
fg4vb7ldf9,alligator,crocodile,6,"('alligator', 'crocodile')"
vlfvz9pzpp,alligator,crocodile,6,"('alligator', 'crocodile')"
vlfvz9pzpp,alligator,crocodile,6,"('alligator', 'crocodile')"
49qbegbyj2,alligator,crocodile,6,"('alligator', 'crocodile')"
49qbegbyj2,alligator,crocodile,5,"('alligator', 'crocodile')"
k1zxdp69ly,alligator,dinosaur,6,"('alligator', 'dinosaur')"
d44f8n2x63,alligator,dinosaur,4,"('alligator', 'dinosaur')"
t0sc9xo37h,alligator,dinosaur,5,"('alligator', 'dinosaur')"
fg4vb7ldf9,alligator,dinosaur,5,"('alligator', 'dinosaur')"
d44f8n2x63,alligator,gecko,2,"('alligator', 'gecko')"
d44f8n2x63,alligator,gecko,1,"('alligator', 'gecko')"
t0sc9xo37h,alligator,gecko,4,"('alligator', 'gecko')"
oetk65eov3,alligator,grinding disc,0,"('alligator', 'grinding disc')"
49qbegbyj2,alligator,grinding disc,0,"('alligator', 'grinding disc')"
7g1fal9av9,alligator,grinding disc,3,"('alligator', 'grinding disc')"
