subjectID,concept_1,concept_2,response_clean,pair_set
hd3swuhan1,alligator,anvil,0,"('alligator', 'anvil')"
c3zto7lwnl,alligator,anvil,0,"('alligator', 'anvil')"
h9lfxbnb0l,alligator,anvil,0,"('alligator', 'anvil')"
716fcx6zzd,alligator,anvil,0,"('alligator', 'anvil')"
h9lfxbnb0l,alligator,axe,0,"('alligator', 'axe')"
bfc47edr60,alligator,axe,0,"('alligator', 'axe')"
4okek6qoyk,alligator,axe,0,"('alligator', 'axe')"
716fcx6zzd,alligator,axe,0,"('alligator', 'axe')"
zuez35mybp,alligator,axe,3,"('alligator', 'axe')"
zzs4uadv59,alligator,axe,6,"('alligator', 'axe')"
4okek6qoyk,alligator,blindworm,4,"('alligator', 'blindworm')"
716fcx6zzd,alligator,blindworm,1,"('alligator', 'blindworm')"
1mgoye2xx0,alligator,blindworm,4,"('alligator', 'blindworm')"
zzs4uadv59,alligator,blindworm,4,"('alligator', 'blindworm')"
c3zto7lwnl,alligator,boa,5,"('alligator', 'boa')"
bfc47edr60,alligator,boa,4,"('alligator', 'boa')"
716fcx6zzd,alligator,boa,4,"('alligator', 'boa')"
1mgoye2xx0,alligator,boa,5,"('alligator', 'boa')"
zuez35mybp,alligator,boa,2,"('alligator', 'boa')"
716fcx6zzd,alligator,caiman,0,"('alligator', 'caiman')"
1mgoye2xx0,alligator,caiman,6,"('alligator', 'caiman')"
zuez35mybp,alligator,caiman,3,"('alligator', 'caiman')"
hd3swuhan1,alligator,chameleon,4,"('alligator', 'chameleon')"
c3zto7lwnl,alligator,chameleon,5,"('alligator', 'chameleon')"
h9lfxbnb0l,alligator,chameleon,4,"('alligator', 'chameleon')"
bfc47edr60,alligator,chameleon,5,"('alligator', 'chameleon')"
4okek6qoyk,alligator,chameleon,5,"('alligator', 'chameleon')"
1mgoye2xx0,alligator,chameleon,5,"('alligator', 'chameleon')"
zzs4uadv59,alligator,chameleon,4,"('alligator', 'chameleon')"
hd3swuhan1,alligator,chisel,0,"('alligator', 'chisel')"
c3zto7lwnl,alligator,chisel,0,"('alligator', 'chisel')"
h9lfxbnb0l,alligator,chisel,0,"('alligator', 'chisel')"
716fcx6zzd,alligator,chisel,0,"('alligator', 'chisel')"
1mgoye2xx0,alligator,chisel,1,"('alligator', 'chisel')"
zuez35mybp,alligator,chisel,5,"('alligator', 'chisel')"
c3zto7lwnl,alligator,cobra,6,"('alligator', 'cobra')"
h9lfxbnb0l,alligator,cobra,2,"('alligator', 'cobra')"
4okek6qoyk,alligator,cobra,5,"('alligator', 'cobra')"
1mgoye2xx0,alligator,cobra,5,"('alligator', 'cobra')"
zuez35mybp,alligator,cobra,1,"('alligator', 'cobra')"
hd3swuhan1,alligator,crocodile,6,"('alligator', 'crocodile')"
c3zto7lwnl,alligator,crocodile,6,"('alligator', 'crocodile')"
h9lfxbnb0l,alligator,crocodile,6,"('alligator', 'crocodile')"
bfc47edr60,alligator,crocodile,6,"('alligator', 'crocodile')"
716fcx6zzd,alligator,crocodile,6,"('alligator', 'crocodile')"
1mgoye2xx0,alligator,crocodile,6,"('alligator', 'crocodile')"
zzs4uadv59,alligator,crocodile,4,"('alligator', 'crocodile')"
hd3swuhan1,alligator,dinosaur,4,"('alligator', 'dinosaur')"
716fcx6zzd,alligator,dinosaur,4,"('alligator', 'dinosaur')"
1mgoye2xx0,alligator,dinosaur,5,"('alligator', 'dinosaur')"
h9lfxbnb0l,alligator,gecko,4,"('alligator', 'gecko')"
716fcx6zzd,alligator,gecko,0,"('alligator', 'gecko')"
1mgoye2xx0,alligator,gecko,5,"('alligator', 'gecko')"
hd3swuhan1,alligator,grinding disc,0,"('alligator', 'grinding disc')"
h9lfxbnb0l,alligator,grinding disc,0,"('alligator', 'grinding disc')"
zuez35mybp,alligator,grinding disc,4,"('alligator', 'grinding disc')"
zzs4uadv59,alligator,grinding disc,3,"('alligator', 'grinding disc')"
hd3swuhan1,alligator,hammer,0,"('alligator', 'hammer')"
h9lfxbnb0l,alligator,hammer,0,"('alligator', 'hammer')"
bfc47edr60,alligator,hammer,0,"('alligator', 'hammer')"
4okek6qoyk,alligator,hammer,0,"('alligator', 'hammer')"
1mgoye2xx0,alligator,hammer,1,"('alligator', 'hammer')"
zuez35mybp,alligator,hammer,3,"('alligator', 'hammer')"
4okek6qoyk,alligator,knife,0,"('alligator', 'knife')"
716fcx6zzd,alligator,knife,0,"('alligator', 'knife')"
zzs4uadv59,alligator,knife,4,"('alligator', 'knife')"
c3zto7lwnl,alligator,lawn mower,0,"('alligator', 'lawn mower')"
bfc47edr60,alligator,lawn mower,0,"('alligator', 'lawn mower')"
716fcx6zzd,alligator,lawn mower,0,"('alligator', 'lawn mower')"
zzs4uadv59,alligator,lawn mower,3,"('alligator', 'lawn mower')"
hd3swuhan1,alligator,lizard,5,"('alligator', 'lizard')"
h9lfxbnb0l,alligator,lizard,4,"('alligator', 'lizard')"
bfc47edr60,alligator,lizard,6,"('alligator', 'lizard')"
716fcx6zzd,alligator,lizard,4,"('alligator', 'lizard')"
zuez35mybp,alligator,lizard,2,"('alligator', 'lizard')"
hd3swuhan1,alligator,nail,1,"('alligator', 'nail')"
bfc47edr60,alligator,nail,0,"('alligator', 'nail')"
4okek6qoyk,alligator,nail,0,"('alligator', 'nail')"
716fcx6zzd,alligator,nail,0,"('alligator', 'nail')"
zuez35mybp,alligator,nail,3,"('alligator', 'nail')"
zzs4uadv59,alligator,nail,4,"('alligator', 'nail')"
hd3swuhan1,alligator,oilcan,0,"('alligator', 'oilcan')"
c3zto7lwnl,alligator,oilcan,0,"('alligator', 'oilcan')"
h9lfxbnb0l,alligator,oilcan,0,"('alligator', 'oilcan')"
bfc47edr60,alligator,oilcan,0,"('alligator', 'oilcan')"
716fcx6zzd,alligator,oilcan,0,"('alligator', 'oilcan')"
1mgoye2xx0,alligator,oilcan,2,"('alligator', 'oilcan')"
bfc47edr60,alligator,paintbrush,0,"('alligator', 'paintbrush')"
zuez35mybp,alligator,paintbrush,3,"('alligator', 'paintbrush')"
zzs4uadv59,alligator,paintbrush,3,"('alligator', 'paintbrush')"
hd3swuhan1,alligator,salamander,4,"('alligator', 'salamander')"
c3zto7lwnl,alligator,salamander,5,"('alligator', 'salamander')"
716fcx6zzd,alligator,salamander,4,"('alligator', 'salamander')"
1mgoye2xx0,alligator,salamander,5,"('alligator', 'salamander')"
zzs4uadv59,alligator,salamander,3,"('alligator', 'salamander')"
hd3swuhan1,alligator,saw,2,"('alligator', 'saw')"
bfc47edr60,alligator,saw,0,"('alligator', 'saw')"
716fcx6zzd,alligator,saw,0,"('alligator', 'saw')"
zuez35mybp,alligator,saw,3,"('alligator', 'saw')"
zzs4uadv59,alligator,saw,5,"('alligator', 'saw')"
c3zto7lwnl,alligator,screwdriver,0,"('alligator', 'screwdriver')"
bfc47edr60,alligator,screwdriver,0,"('alligator', 'screwdriver')"
1mgoye2xx0,alligator,screwdriver,1,"('alligator', 'screwdriver')"
hd3swuhan1,alligator,shovel,1,"('alligator', 'shovel')"
c3zto7lwnl,alligator,shovel,0,"('alligator', 'shovel')"
h9lfxbnb0l,alligator,shovel,0,"('alligator', 'shovel')"
bfc47edr60,alligator,shovel,0,"('alligator', 'shovel')"
4okek6qoyk,alligator,shovel,0,"('alligator', 'shovel')"
zzs4uadv59,alligator,shovel,5,"('alligator', 'shovel')"
c3zto7lwnl,alligator,snake,6,"('alligator', 'snake')"
bfc47edr60,alligator,snake,4,"('alligator', 'snake')"
4okek6qoyk,alligator,snake,5,"('alligator', 'snake')"
716fcx6zzd,alligator,snake,4,"('alligator', 'snake')"
1mgoye2xx0,alligator,snake,5,"('alligator', 'snake')"
zzs4uadv59,alligator,snake,3,"('alligator', 'snake')"
hd3swuhan1,alligator,spanner,0,"('alligator', 'spanner')"
h9lfxbnb0l,alligator,spanner,0,"('alligator', 'spanner')"
bfc47edr60,alligator,spanner,0,"('alligator', 'spanner')"
zzs4uadv59,alligator,spanner,3,"('alligator', 'spanner')"
hd3swuhan1,alligator,toad,2,"('alligator', 'toad')"
c3zto7lwnl,alligator,toad,4,"('alligator', 'toad')"
h9lfxbnb0l,alligator,toad,4,"('alligator', 'toad')"
bfc47edr60,alligator,toad,4,"('alligator', 'toad')"
4okek6qoyk,alligator,toad,5,"('alligator', 'toad')"
716fcx6zzd,alligator,toad,3,"('alligator', 'toad')"
1mgoye2xx0,alligator,toad,5,"('alligator', 'toad')"
zuez35mybp,alligator,toad,2,"('alligator', 'toad')"
zzs4uadv59,alligator,toad,4,"('alligator', 'toad')"
hd3swuhan1,alligator,tortoise,2,"('alligator', 'tortoise')"
h9lfxbnb0l,alligator,tortoise,2,"('alligator', 'tortoise')"
bfc47edr60,alligator,tortoise,4,"('alligator', 'tortoise')"
4okek6qoyk,alligator,tortoise,5,"('alligator', 'tortoise')"
716fcx6zzd,alligator,tortoise,3,"('alligator', 'tortoise')"
zuez35mybp,alligator,tortoise,2,"('alligator', 'tortoise')"
hd3swuhan1,alligator,turtle,4,"('alligator', 'turtle')"
bfc47edr60,alligator,turtle,5,"('alligator', 'turtle')"
716fcx6zzd,alligator,turtle,2,"('alligator', 'turtle')"
c3zto7lwnl,alligator,vacuum cleaner,0,"('alligator', 'vacuum cleaner')"
h9lfxbnb0l,alligator,vacuum cleaner,0,"('alligator', 'vacuum cleaner')"
4okek6qoyk,alligator,vacuum cleaner,0,"('alligator', 'vacuum cleaner')"
1mgoye2xx0,alligator,vacuum cleaner,1,"('alligator', 'vacuum cleaner')"
zuez35mybp,alligator,vacuum cleaner,2,"('alligator', 'vacuum cleaner')"
zzs4uadv59,alligator,vacuum cleaner,2,"('alligator', 'vacuum cleaner')"
bfc47edr60,anvil,alligator,0,"('anvil', 'alligator')"
4okek6qoyk,anvil,alligator,0,"('anvil', 'alligator')"
1mgoye2xx0,anvil,alligator,1,"('anvil', 'alligator')"
zuez35mybp,anvil,alligator,3,"('anvil', 'alligator')"
zzs4uadv59,anvil,alligator,2,"('anvil', 'alligator')"
h9lfxbnb0l,anvil,axe,1,"('anvil', 'axe')"
4okek6qoyk,anvil,axe,5,"('anvil', 'axe')"
4okek6qoyk,anvil,blindworm,0,"('anvil', 'blindworm')"
716fcx6zzd,anvil,blindworm,0,"('anvil', 'blindworm')"
zuez35mybp,anvil,blindworm,3,"('anvil', 'blindworm')"
c3zto7lwnl,anvil,boa,0,"('anvil', 'boa')"
h9lfxbnb0l,anvil,boa,0,"('anvil', 'boa')"
bfc47edr60,anvil,boa,0,"('anvil', 'boa')"
716fcx6zzd,anvil,boa,0,"('anvil', 'boa')"
1mgoye2xx0,anvil,boa,1,"('anvil', 'boa')"
hd3swuhan1,anvil,chameleon,0,"('anvil', 'chameleon')"
bfc47edr60,anvil,chameleon,0,"('anvil', 'chameleon')"
zuez35mybp,anvil,chameleon,3,"('anvil', 'chameleon')"
zzs4uadv59,anvil,chameleon,3,"('anvil', 'chameleon')"
c3zto7lwnl,anvil,chisel,6,"('anvil', 'chisel')"
bfc47edr60,anvil,chisel,4,"('anvil', 'chisel')"
4okek6qoyk,anvil,chisel,5,"('anvil', 'chisel')"
716fcx6zzd,anvil,chisel,3,"('anvil', 'chisel')"
1mgoye2xx0,anvil,chisel,4,"('anvil', 'chisel')"
zzs4uadv59,anvil,chisel,3,"('anvil', 'chisel')"
bfc47edr60,anvil,cobra,0,"('anvil', 'cobra')"
716fcx6zzd,anvil,cobra,0,"('anvil', 'cobra')"
1mgoye2xx0,anvil,cobra,1,"('anvil', 'cobra')"
zuez35mybp,anvil,cobra,5,"('anvil', 'cobra')"
zzs4uadv59,anvil,cobra,4,"('anvil', 'cobra')"
c3zto7lwnl,anvil,crocodile,0,"('anvil', 'crocodile')"
h9lfxbnb0l,anvil,crocodile,0,"('anvil', 'crocodile')"
bfc47edr60,anvil,crocodile,0,"('anvil', 'crocodile')"
716fcx6zzd,anvil,crocodile,0,"('anvil', 'crocodile')"
1mgoye2xx0,anvil,crocodile,1,"('anvil', 'crocodile')"
zuez35mybp,anvil,crocodile,4,"('anvil', 'crocodile')"
zzs4uadv59,anvil,crocodile,3,"('anvil', 'crocodile')"
h9lfxbnb0l,anvil,dinosaur,0,"('anvil', 'dinosaur')"
716fcx6zzd,anvil,dinosaur,0,"('anvil', 'dinosaur')"
zuez35mybp,anvil,dinosaur,3,"('anvil', 'dinosaur')"
zzs4uadv59,anvil,dinosaur,2,"('anvil', 'dinosaur')"
hd3swuhan1,anvil,gecko,1,"('anvil', 'gecko')"
716fcx6zzd,anvil,gecko,0,"('anvil', 'gecko')"
zuez35mybp,anvil,gecko,3,"('anvil', 'gecko')"
zzs4uadv59,anvil,gecko,4,"('anvil', 'gecko')"
h9lfxbnb0l,anvil,grinding disc,1,"('anvil', 'grinding disc')"
